Split,Region,Pairs,Unique_IDs
Train,Pabna,2000,2000
Train,Noakhali,2000,2000
Train,Jashore,2000,2000
Train,Rangpur,2000,2000
Train,Mymensingh,1204,1204
Train,Barishal,1204,1204
Train,Chittagong,908,908
Validation,Pabna,250,250
Validation,Noakhali,250,250
Validation,Jashore,250,250
Validation,Rangpur,250,250
Validation,Mymensingh,143,143
Validation,Barishal,143,143
Validation,Chittagong,109,109
Test,Pabna,250,250
Test,Noakhali,250,250
Test,Jashore,250,250
Test,Rangpur,250,250
Test,Mymensingh,153,153
Test,Barishal,153,153
Test,Chittagong,113,113
